Zona;Provincia;Canton;Distrito;Circuito;Fecha Infracción;Hora Infracción;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 8;GUAYAS;DURAN;DURAN;RECREO;08/03/2014;3:00;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MARTHA DE ROLDOS;02/01/2014;16:00;Homicidios;53;FEMENINO;SOLTERO;ECUADOR
ZONA 3;PASTAZA;ARAJUNO;ARAJUNO;ARAJUNO SELVA;04/04/2014;10:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;BALZAR DE VINCES;24/02/2014;17:45;Homicidios;34;FEMENINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;DIVINO NIÑO;18/01/2014;23:30;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA VALDRAMINA;24/04/2014;21:40;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;PASCUALES;08/03/2014;20:00;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;LA BOTA;08/03/2014;23:00;Homicidios;29;MASCULINO;SOLTERO;ECUADOR
ZONA 6;MORONA_SANTIAGO;MORONA;MORONA;MACAS;10/01/2014;13:25;Asesinatos;16;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;CONTROL;26/04/2014;13:30;Asesinatos;34;MASCULINO;DIVORCIADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;08/03/2014;23:30;Asesinatos;31;FEMENINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;RAYITO DE LUZ;04/01/2014;6:00;Homicidios;31;MASCULINO;SOLTERO;COLOMBIA
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;MATA DE CACAO;01/02/2014;21:30;Homicidios;62;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PROGRESO;PROGRESO;10/03/2014;20:40;Asesinatos;17;FEMENINO;SOLTERO;ECUADOR
ZONA 2;PICHINCHA;PUERTO_QUITO;NOROCCIDENTE;PUERTO QUITO NORTE;26/04/2014;17:55;Homicidios;57;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;SABANA;31/01/2014;14:00;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;PEDERNALES;PEDERNALES;PEDERNALES NORTE;07/05/2014;8:30;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR
ZONA 3;COTOPAXI;LA_MANA;LA MANA;LA MANA SUR;14/01/2014;7:30;Asesinatos;23;FEMENINO;SOLTERO;ECUADOR
ZONA 3;COTOPAXI;LA_MANA;LA MANA;LA MANA SUR;14/01/2014;7:30;Asesinatos;37;FEMENINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA VALDRAMINA;27/04/2014;3:35;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR
ZONA 3;COTOPAXI;LATACUNGA;LATACUNGA;BETHLEMITAS;21/01/2014;7:50;Asesinatos;12;FEMENINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;UNIVERSITARIO;12/03/2014;1:30;Homicidios;22;FEMENINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;EL_EMPALME;EL EMPALME;EMPALME CENTRO;12/02/2014;0:00;Homicidios;67;FEMENINO;SOLTERO;ECUADOR
ZONA 4;MANABI;BOLIVAR;BOLIVAR JUNIN;CALCETA SUR;28/07/2014;0:00;Asesinatos;37;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ATACAMES;ATACAMES;TONCHIGUE;07/08/2014;0:00;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;MANTA;MANTA;TARQUI;22/03/2014;13:14;Asesinatos;30;FEMENINO;CASADO;ECUADOR
